Movie,Review
Batman,"Tim Burton's Batman is a Gothic superhero movie that embraced artifice and shunned grounded reality, and it was better for it."
Batman,"Set to Danny Elfman’s triumphant score, Burton’s first Batman movie will live eternal in how it irreversibly changed movies and turned Keaton into a movie star overnight."
Batman,"The result is a film that may please adults more than youngsters, and isn't that refreshing?"
Batman,The Gotham City created in Batman is one of the most distinctive and atmospheric places I’ve seen in the movies. It’s a shame something more memorable doesn’t happen there.
Batman,"It is both a technical and aesthetic triumph, a fact made all the more impressive since the movie was almost buried in its own hype before anyone had seen it."
Batman,"One of the most interesting comic-book movies ever made, a movie that vividly illustrates where most of the others have gone wrong."
Batman,"The movie is underwritten, but it has so many unpredictable spins that what's missing doesn't seem to matter much. It's mean and anarchic and blissful."
Batman,"Batman tries to span the uncharted area between Raiders of the Lost Ark and Blue Velvet, which is worthy of notice. That it fails may be because of Tim Burton's lack of narrative cohesion."
Batman,"Batman, despite the disconcerting mood changes, remains a forceful, visually hypnotic movie with enough pulse-pounding action and seething tension to nail most audiences to their seats even if they feel cheated in the end."
Batman,"There is real boldness and wild humor in Tim Burton's gloomy, sinister version of the ultimate in comic book noir. Burton is a former animator with so much genuine daftness and visual ingenuity that even a clunky corporate machine can't quell it."
Batman,"It's halfway between an opera and a comic book, but it chooses the worst parts of each. It hasn't the comic book's antic rhythms, but it hasn't an opera's depth of passion."
Batman,"Keaton must project a whole lot without saying very much, and convince you that no, he's not a mild-mannered wimp, he's just cautious. He does convince. But Nicholson has all the great lines; he's so good he puts a spin on the hammiest, hoariest jokes."
Batman,Batman is perfect summertime fare. Its secret is levity hidden in a dark and troubled soul.
Batman,"All the incredible sets and effects can't mask a half-baked story. The atmosphere is dazzling; the narrative, which sometimes lurches along, is forgettable."
Batman,"Boasts the adventure of Indiana Jones, the humor of the original Ghostbusters, the terror of Friday the 13th and the ingenuity of a post-modern classic. Better yet, it contains a performance by Jack Nicholson that's so mesmerizing it won't be forgotten."
Batman,"Batman is a feast for the eyes and ears, with Anton Furst's massive, elegantly ugly sets of Gotham City, Danny Elfman's lovely, classically-oriented score, and dazzling special effects. It is also one long gas, thanks to Jack Nicholson."
Batman,"Watching the tale unfold, you sense that with each film Burton is going to get even better. There's a maniacal gloom to his work balanced by a wacky sense of humor."
Batman,"It is exhilarating in its sheer, protean excess of styles, appearances, allusions, gestures, and decor. But it also marks the supersedence of set decor and costume over more traditionally important cinematic values. such as narrative, character and theme."
Batman,"Tim Burton's Batman is spectacular entertainment, as exciting as it is visionary, and as much fun as it is darkly original."
Batman,"The thing that's going to make you want to see Batman a second and third and fourth time is Gotham City as a brutal pile of dour, gothic, Art Deco menace."
Batman,"On one hand, Batman is a brooding, ambitious, psychologically sensitive saga of dark motivations and shadowy desires. On the other, it's a dazzling piece of comic absurdity. Only in rare places do the two approaches gel."
